-1.25583,0.0127127,,-1.25583
-1.09305,0.00986522,,-1.09305
-0.860237,0.00856238,,-0.860237
-0.653233,0.00751899,,-0.653233
-0.549778,0.00691128,,-0.549778
-0.446183,0.00656162,,-0.446183
-0.342588,0.00621197,,-0.342588
-0.230298,0.00594787,,-0.230298
-0.100665,0.00576885,,-0.100665
0.0205051,0.00593438,,0.0205051
0.115637,0.00592927,,0.115637
0.262707,0.00600738,,0.262707
0.461945,0.00659882,,0.461945
0.557543,0.0074539,,0.557543
0.661509,0.00779239,,0.661509
0.878463,0.00915707,,0.878463
1.07854,0.0112969,,1.07854
1.26127,0.0133515,,1.26127
